id,isgene
>CDNA5_150,1
ORF3>NCRNA4_336,0
>CDNA5_6161,1
ORF3>NCRNA5_1682,1
ORF2>NCRNA5_814,1
>CDNA5_3966,1
>NCRNA5_1333,0
ORF3>NCRNA4_783,0
ORF1>NCRNA5_1148,1
>CDNA5_879,1
ORF2>NCRNA5_3161,1
ORF3>NCRNA5_6372,1
>CDNA5_5520,1
ORF2>NCRNA5_2354,1
ORF1>NCRNA4_2284,0
ORF1>NCRNA5_4216,0
ORF3>NCRNA5_4162,1
ORF3>NCRNA3_2292,0
ORF1>NCRNA5_4721,1
ORF1>NCRNA3_231,0
>CDNA5_6207,1
ORF3>NCRNA5_6417,1
>CDNA5_7578,1
ORF3>NCRNA3_184,0
ORF2>NCRNA4_297,0
>CDNA5_2866,1
ORF2>NCRNA5_856,0
>NCRNA5_231,0
ORF2>NCRNA5_1132,1
ORF2>NCRNA4_2199,0
ORF1>NCRNA3_2029,0
>CDNA5_5330,1
ORF1>NCRNA3_1780,0
>CDNA3_349,1
ORF3>NCRNA5_4734,0
ORF1>NCRNA5_2670,1
ORF3>NCRNA4_132,0
>CDNA5_2571,1
ORF1>CDNA3_4034,0
ORF3>NCRNA5_4883,0
ORF2>NCRNA4_1681,0
>CDNA5_3648,1
>CDNA3_3053,1
ORF2>NCRNA4_47,0
ORF1>NCRNA5_6333,1
>CDNA5_6947,1
ORF1>NCRNA3_1291,0
ORF3>NCRNA5_521,0
ORF3>NCRNA4_554,0
ORF2>NCRNA3_2715,0
ORF2>NCRNA5_6784,1
>CDNA5_7866,1
>CDNA5_712,1
>CDNA4_2069,1
ORF3>NCRNA3_2664,0
ORF2>NCRNA3_1506,1
>CDNA3_475,1
>CDNA4_1599,1
ORF1>NCRNA4_1015,1
>CDNA5_1013,1
ORF3>NCRNA3_1029,0
>CDNA3_1103,1
ORF1>NCRNA3_677,0
ORF1>NCRNA5_5808,1
ORF1>NCRNA4_28,0
ORF1>NCRNA5_238,1
>NCRNA4_222,0
ORF1>NCRNA5_6731,1
ORF1>NCRNA4_1851,0
>CDNA5_2119,1
>CDNA3_1105,1
ORF1>NCRNA5_545,0
>CDNA5_1838,1
>CDNA3_3271,1
>CDNA4_664,1
>CDNA5_5389,1
>CDNA5_4938,1
ORF2>NCRNA3_3095,1
ORF2>NCRNA3_2263,0
ORF2>NCRNA4_1916,0
ORF1>NCRNA5_6147,1
ORF1>NCRNA3_1589,0
ORF2>NCRNA5_1275,1
ORF2>NCRNA5_4458,1
ORF3>NCRNA5_5674,1
>NCRNA3_925,0
>CDNA4_2161,1
ORF3>NCRNA3_2925,0
ORF1>NCRNA3_174,0
>CDNA5_3070,1
ORF1>NCRNA4_1269,1
>CDNA5_3515,1
ORF1>NCRNA5_5777,0
>CDNA4_151,1
ORF2>NCRNA5_1547,1
>CDNA5_5712,1
>CDNA5_5824,1
>CDNA5_974,1
>CDNA3_713,1
>CDNA5_3542,1
ORF3>CDNA3_2106,1
ORF1>NCRNA5_1567,0
ORF3>NCRNA4_1336,1
ORF3>NCRNA5_5420,1
ORF3>NCRNA5_1973,0
>CDNA5_378,1
ORF2>NCRNA4_616,1
>CDNA5_3103,1
>CDNA5_8684,1
>CDNA4_283,1
>CDNA5_2930,1
>CDNA3_2357,1
>NCRNA5_3151,0
>NCRNA5_2976,0
>CDNA5_6656,1
ORF3>CDNA5_5086,1
ORF3>NCRNA3_2636,0
ORF3>NCRNA5_1725,0
>CDNA3_3043,1
ORF1>CDNA3_4238,1
ORF3>NCRNA5_280,1
>CDNA5_3516,1
>NCRNA5_3722,0
ORF3>NCRNA3_565,0
ORF3>NCRNA3_1641,0
>CDNA5_4247,1
>CDNA3_4189,1
>CDNA4_801,1
>CDNA4_2462,1
ORF1>NCRNA5_873,0
>CDNA3_1937,1
ORF3>NCRNA5_1466,1
>CDNA5_1065,1
ORF2>CDNA3_865,1
ORF3>NCRNA3_3010,0
>CDNA5_8244,1
ORF3>NCRNA5_1173,0
>CDNA5_338,1
>CDNA4_1362,1
ORF3>NCRNA5_2836,0
ORF1>NCRNA5_1195,1
ORF3>NCRNA5_400,1
ORF1>NCRNA4_1345,0
>CDNA3_371,1
>NCRNA3_1174,0
>CDNA5_3881,1
ORF2>NCRNA5_6440,1
ORF1>NCRNA5_890,0
ORF3>NCRNA5_236,1
>CDNA4_2575,1
ORF2>NCRNA5_4323,0
ORF2>NCRNA5_4307,0
>NCRNA4_1498,1
ORF3>NCRNA5_4022,1
>CDNA4_2226,1
ORF2>NCRNA5_2123,1
ORF1>NCRNA5_4344,0
ORF1>NCRNA4_978,0
>CDNA4_959,1
ORF1>NCRNA5_6269,0
>CDNA5_2829,1
>NCRNA5_5139,1
ORF2>NCRNA5_107,1
>CDNA5_5636,1
ORF3>NCRNA3_727,0
ORF3>NCRNA5_1132,1
>CDNA5_1151,1
>CDNA5_4505,1
>NCRNA3_1372,1
ORF3>NCRNA5_342,1
ORF2>NCRNA5_1919,0
ORF3>NCRNA3_977,1
ORF3>NCRNA4_1248,0
>CDNA5_8112,1
>CDNA3_3738,1
ORF3>NCRNA5_2259,0
ORF1>NCRNA3_3496,0
>CDNA5_4967,1
>CDNA3_3768,1
ORF1>NCRNA3_1351,1
ORF1>NCRNA5_1316,0
>CDNA5_7364,1
>CDNA5_4008,1
ORF3>NCRNA5_2426,1
ORF2>NCRNA3_291,0
>CDNA5_8847,1
ORF1>NCRNA3_77,1
>CDNA5_7184,1
ORF1>NCRNA4_896,0
ORF1>NCRNA5_5640,0
>CDNA5_6943,1
ORF2>NCRNA5_5576,0
>CDNA5_1767,1
ORF1>NCRNA5_3507,1
ORF2>NCRNA5_3125,1
>NCRNA4_2140,0
>CDNA5_5694,1
ORF3>NCRNA3_1047,0
>CDNA3_1803,1
ORF2>NCRNA5_1942,1
ORF2>NCRNA3_779,0
ORF1>NCRNA4_373,0
ORF1>NCRNA3_2439,0
ORF3>NCRNA5_772,1
ORF3>NCRNA4_1085,0
ORF3>NCRNA5_6734,1
>CDNA5_2822,1
>CDNA5_1402,1
ORF3>CDNA5_1253,1
ORF2>NCRNA5_6607,1
ORF1>NCRNA3_1938,0
ORF1>NCRNA5_2820,1
ORF2>NCRNA5_2371,0
ORF1>NCRNA5_5608,1
>CDNA3_2493,0
>CDNA5_3970,1
>CDNA3_427,1
ORF3>NCRNA5_2624,1
>CDNA5_6221,1
ORF3>NCRNA5_305,1
ORF1>NCRNA3_3343,0
ORF2>NCRNA3_3342,0
ORF1>NCRNA5_4101,1
ORF2>NCRNA5_5108,1
ORF2>NCRNA5_2801,0
ORF2>NCRNA5_3887,1
ORF1>NCRNA3_2671,1
ORF2>NCRNA5_4481,1
ORF3>NCRNA5_2213,1
ORF2>NCRNA3_2829,1
>CDNA5_5789,1
ORF1>NCRNA3_1567,0
ORF2>NCRNA4_1075,0
>CDNA4_2409,1
>CDNA5_7873,1
>CDNA3_1076,1
>CDNA5_4920,1
ORF1>NCRNA3_1783,0
>CDNA3_3130,1
ORF1>NCRNA5_5379,1
ORF1>NCRNA5_1496,0
ORF1>NCRNA5_4249,1
ORF1>NCRNA5_911,1
ORF1>NCRNA5_4188,1
>CDNA5_8392,1
ORF2>NCRNA4_1816,0
ORF2>NCRNA4_1949,0
>CDNA3_1125,1
ORF1>NCRNA5_2316,1
ORF2>NCRNA3_2925,0
ORF2>NCRNA3_319,0
ORF2>NCRNA5_178,1
>CDNA5_4161,1
>CDNA5_7765,1
ORF3>NCRNA5_2473,1
ORF3>NCRNA4_923,0
>CDNA3_574,1
ORF1>NCRNA3_2033,0
>CDNA3_3378,1
ORF1>NCRNA4_693,0
ORF1>NCRNA3_1222,0
>CDNA5_5474,1
ORF2>NCRNA3_3051,0
>CDNA3_1600,1
ORF3>NCRNA5_2,0
>CDNA5_5177,1
ORF1>NCRNA3_2985,1
ORF1>NCRNA3_2350,0
ORF2>NCRNA5_2994,0
ORF1>NCRNA5_2795,0
ORF1>NCRNA4_802,1
ORF2>NCRNA4_1941,1
ORF1>CDNA4_503,1
ORF3>NCRNA4_421,0
>CDNA3_471,1
ORF1>NCRNA5_5480,1
ORF3>NCRNA4_650,1
ORF1>NCRNA3_1840,0
ORF2>NCRNA3_1683,1
>CDNA5_4376,1
>NCRNA5_3509,0
>CDNA5_5313,1
ORF3>NCRNA5_4297,1
>CDNA4_2796,1
ORF1>NCRNA5_2000,1
ORF2>NCRNA5_5403,1
>CDNA5_324,1
ORF3>NCRNA5_6612,0
>NCRNA4_1713,1
>CDNA4_2586,1
>NCRNA5_1091,0
>CDNA5_4039,1
ORF2>NCRNA5_280,1
ORF1>NCRNA5_1635,1
ORF3>NCRNA5_2710,1
>CDNA5_579,1
>CDNA5_7436,1
ORF2>NCRNA5_2707,1
>CDNA5_6990,1
ORF1>NCRNA5_5065,0
ORF3>NCRNA4_753,1
>NCRNA5_5749,1
ORF1>NCRNA5_2860,0
>CDNA5_3734,1
>CDNA5_7986,1
ORF3>NCRNA5_5953,0
>CDNA5_5815,1
>CDNA5_3336,1
>NCRNA4_1838,1
ORF1>NCRNA4_51,0
ORF2>NCRNA5_2320,1
ORF1>NCRNA4_706,1
>CDNA5_4913,1
ORF2>NCRNA5_6652,0
>CDNA5_3425,1
ORF3>NCRNA5_5153,0
ORF1>NCRNA3_140,0
ORF3>NCRNA3_2993,0
ORF3>NCRNA3_314,0
ORF1>NCRNA5_4814,1
ORF1>NCRNA5_415,0
ORF3>NCRNA5_2579,1
ORF2>NCRNA5_3348,1
>CDNA3_490,1
>CDNA3_1861,1
ORF2>NCRNA5_5043,1
>NCRNA3_1815,0
>NCRNA3_1832,0
ORF2>NCRNA5_4064,1
ORF2>NCRNA5_150,0
